final_train_loss,final_val_loss,final_train_acc,final_val_acc,loss_gap,acc_gap,overfit_score,val_loss_trend,train_loss_trend,loss_volatility,acc_volatility,best_val_acc,best_val_epoch,convergence_speed,train_val_loss_corr,gradient_norm_mean,gradient_norm_std,failure_mode
0.0393824428319931,0.5381971597671509,0.99375,0.825,0.4988147169351578,0.16875000000000007,0.16875000000000007,0.016185451998855124,-0.00560716686375213,0.29533402670318204,0.07811928724380938,0.85,21,8,0.9645857876582347,0.27790340181041234,0.22051685670359375,0
0.28059434771537783,0.8641125559806824,0.9075,0.77,0.5835182082653045,0.13749999999999996,0.13749999999999996,0.02405832283424615,0.013337255351471178,0.2916148542976475,0.10220333429957222,0.8,21,17,0.6574940545397037,0.47909811663224006,0.21321659462884401,0
1.1059530305862426,2.2014474868774414,0.59125,0.33,1.0954944562911988,0.26125000000000004,0.26125000000000004,0.012777277917572988,-0.02196126487038351,0.12740942534177513,0.05903604999055842,0.34,27,-1,-0.10484288833576647,0.6347361307321673,0.2254868139545477,0
0.011506232433021069,1.4323647022247314,0.99375,0.825,1.4208584697917104,0.16875000000000007,0.16875000000000007,-0.0049780007564660415,-2.404982788544752e-05,0.3210643781901294,0.08531498012268028,0.875,16,8,0.096866971314054,0.24052343078938065,0.433980251314723,0
0.1663117516040802,0.7952247858047485,0.95,0.78,0.6289130342006684,0.16999999999999993,0.16999999999999993,0.010584778496713375,-0.011493005223346484,0.2338203433137363,0.0873525912987793,0.805,26,16,0.9143047470407619,0.5238033998678226,0.13968878287275777,0
1.2191620397567748,2.1229331493377686,0.575,0.33,0.9037711095809937,0.24499999999999994,0.24499999999999994,-0.0042109185999090444,-0.0259123582839966,0.09273530270486302,0.057621042548759896,0.355,20,-1,0.41581540713508913,0.5601501472182481,0.13977682511274298,0
0.006536651402711868,1.258498191833496,1.0,0.875,1.2519615404307842,0.125,0.125,-0.011478875622604781,-0.002953553431187614,0.3164275698406267,0.06362494893164862,0.9,12,6,-0.034350790696949365,0.219048762231318,0.13406649737985268,0
0.14620102286338807,0.7567242383956909,0.9525,0.78,0.6105232155323028,0.1725,0.1725,-0.004195109280672931,0.0013981514266043092,0.21360680212530508,0.1053623760933664,0.835,44,15,0.8178410784049595,0.48459279535819927,0.12503549818629114,0
1.7228229331970215,2.22218918800354,0.3575,0.23,0.49936625480651853,0.12749999999999997,0.12749999999999997,0.01889801097638669,-0.005654651930837908,0.10091159503871884,0.04511635196349502,0.315,41,-1,0.4263986504401643,0.30783040801003886,0.14852728476996271,0
0.003747961949557066,0.6778919100761414,1.0,0.875,0.6741439481265843,0.125,0.125,0.005120946783008004,-0.00042368970162263433,0.24780506479928227,0.07352602524881166,0.9,12,10,0.821838101394067,0.073273164385652,0.05113145307465842,0
0.1320997056365013,0.968069851398468,0.95125,0.785,0.8359701457619667,0.16625,0.16625,0.0108629540963607,-0.005174596064018485,0.20837316684319035,0.0771713011567268,0.8,40,16,0.6796524411179257,0.4218585585537949,0.13334647872031316,0
1.4208966732025146,2.009340524673462,0.47875,0.365,0.5884438514709474,0.11375000000000002,0.11375000000000002,0.005338111790743783,-0.01517060727784123,0.09656066622158029,0.05843224923031093,0.365,46,-1,0.5741161731303507,0.4514653732533569,0.11464370066698708,0
0.005924850236624479,0.7293684482574463,1.0,0.825,0.7234435980208218,0.17500000000000004,0.17500000000000004,-0.016682711514559672,-0.001345933344440929,0.2137315860536917,0.07033032181546353,0.9,13,7,0.44814379364187823,0.16891998366421224,0.0672210526427468,0
0.2536724954843521,0.6648240089416504,0.91875,0.8,0.4111515134572983,0.11874999999999991,0.11874999999999991,-0.01031841075781618,-0.019395751736380817,0.2883147706270265,0.1305051276397738,0.805,39,21,0.9375091053466011,0.4632561156281665,0.13182266058918227,0
1.3901563549041749,1.972603440284729,0.4925,0.33,0.5824470853805541,0.16249999999999998,0.16249999999999998,0.010985305815032079,-0.017658801049897126,0.10398155094459943,0.06754661049804112,0.36,45,-1,0.6762728364870029,0.36144201580795327,0.1090935534832691,0
0.0023630729410797358,0.6939000487327576,1.0,0.925,0.6915369757916778,0.07499999999999996,0.07499999999999996,0.027310510295810116,-6.378274128744055e-05,0.27702321791372564,0.09610830117921945,0.975,12,9,0.806055334197118,0.1712146376675163,0.1555555559911633,0
0.14229935258626938,0.6934773325920105,0.96,0.8,0.5511779800057411,0.15999999999999992,0.15999999999999992,-0.006961103461005459,-0.0031732430169076594,0.2881504403588554,0.12051584520008377,0.85,45,18,0.9241989763186896,0.43772966718023415,0.14116297867080593,0
1.4377450370788574,2.2620010375976562,0.48125,0.26,0.8242560005187989,0.22125,0.22125,-0.006920609329686062,-0.005226043412179631,0.1124186767910988,0.05120348809700503,0.305,30,-1,-0.21084686887897627,0.3803590219870379,0.13974568572329327,0
0.013438627123832703,1.5568825006484985,1.0,0.75,1.5434438735246658,0.25,0.25,0.01089133927316374,-0.001970438952698851,0.2647524784818177,0.028695262044774593,0.8,2,5,-0.4103343972065683,0.19277267939333945,0.10427275354698258,0
0.21829986989498137,0.5292508602142334,0.9175,0.84,0.310950990319252,0.07750000000000001,0.07750000000000001,-0.0013854173096743512,-0.006895018534226846,0.24570367832028542,0.09784323849775153,0.85,25,11,0.9500512722851572,0.45278610756906257,0.1323909722967524,0
1.2975181007385255,2.1252169609069824,0.525,0.26,0.827698860168457,0.265,0.265,0.005144179951060907,-0.017715804678021016,0.08910254155229592,0.04842693201020695,0.315,49,-1,0.3001251999613482,0.4236207570944476,0.16144758353358585,0
0.001037482637912035,0.9607082605361938,1.0,0.875,0.9596707778982818,0.125,0.125,0.004611866040663271,-0.000187110665226073,0.21623362726041295,0.029623938229418036,0.9,6,4,-0.04158543742444763,0.12158318675944445,0.09420158658713203,0
0.13681788504123688,0.7336361408233643,0.94875,0.83,0.5968182557821273,0.11875000000000002,0.11875000000000002,0.011488313747174827,-0.0050333902799721865,0.2467960657255487,0.106364226906569,0.845,52,14,0.8975716776451648,0.44602352797670325,0.1677362092302104,0
1.3449871349334717,2.0499160289764404,0.53625,0.335,0.7049288940429688,0.20124999999999998,0.20124999999999998,0.011015291647477615,-0.017400603092077943,0.09060289736438247,0.052719382899777324,0.34,33,-1,0.3156494628814283,0.4464688844412902,0.13627825822083714,0
0.005741770379245281,1.986860990524292,1.0,0.775,1.9811192201450467,0.22499999999999998,0.22499999999999998,0.07525391000689885,0.007720711133019488,0.4726390852146406,0.10721035359215719,0.8,36,7,-0.31639663998051165,0.23850832199770425,0.29370589675434294,0
0.09700995087623596,0.92384934425354,0.96875,0.79,0.826839393377304,0.17874999999999996,0.17874999999999996,-0.003974168589620893,-0.0026590837335044603,0.21700869550450977,0.09605310170477287,0.825,50,14,0.6658067856886893,0.4790333080091726,0.16105751206359664,0
1.203807430267334,2.1588659286499023,0.5725,0.31,0.9550584983825683,0.2625,0.2625,0.016629454583832755,-0.020944519042968738,0.10780604016014435,0.061816108955449735,0.4,45,-1,0.5379570504668502,0.5548662801940079,0.18207106634450923,0
0.06785686314105988,1.1139228343963623,0.96875,0.825,1.0460659712553024,0.14375000000000004,0.14375000000000004,0.04567720817797114,0.0005154744919502385,0.22476340413486776,0.09953145078461811,0.9,52,8,0.592978966146151,0.21674576296119769,0.14122472536310593,0
0.14186641603708267,0.621060848236084,0.9475,0.795,0.4791944321990013,0.15249999999999997,0.15249999999999997,-0.0020483352921225563,-0.008493442867741428,0.22938312651573606,0.08241688667910566,0.85,36,12,0.9281558372511313,0.5025608830086034,0.1813486859129784,0
1.4531394672393798,2.0061142444610596,0.45375,0.285,0.5529747772216798,0.16875,0.16875,-0.011978632031065055,-0.011910711086157606,0.10912014345667305,0.044385640314887544,0.305,36,-1,0.601053203760981,0.3891633250271653,0.13359681913598942,0
0.017144320532679558,1.6541709899902344,0.99375,0.85,1.6370266694575548,0.14375000000000004,0.14375000000000004,-0.0013976783463448617,0.00012791423183499117,0.3673014575047964,0.07513672698718608,0.85,55,5,-0.14468194365137793,0.2164817243859337,0.323588875069076,0
0.19316497385501863,0.6767444610595703,0.92125,0.845,0.4835794872045517,0.07625000000000004,0.07625000000000004,-0.0017824678710012351,-0.007051201406753417,0.28255498672122276,0.10699592155539717,0.86,45,21,0.936793251570867,0.44861623956601077,0.16647395118494496,0
1.7142502784729003,1.8872543573379517,0.3375,0.28,0.17300407886505131,0.057499999999999996,0.057499999999999996,-0.009492509292833717,-0.017392299074115148,0.10602232075766858,0.05255545780555712,0.35,29,-1,0.8475418113077052,0.2706061399418636,0.10763127975661518,0
0.009600947611033916,0.9947773218154907,1.0,0.875,0.9851763742044568,0.125,0.125,0.020451152685916782,-0.0022436388683590006,0.24706870866428984,0.06309864947377412,0.9,11,11,0.5090640941761135,0.08470103955125446,0.0460527420873468,0
0.10085691392421722,1.0422052145004272,0.965,0.78,0.94134830057621,0.18499999999999994,0.18499999999999994,-0.039295993068001495,-0.006584532260443213,0.21093869669726711,0.09181386588682793,0.785,20,14,0.5461699623391302,0.4255888377489916,0.20058158965608078,0
1.5704636192321777,1.9173498153686523,0.39875,0.33,0.34688619613647464,0.06874999999999998,0.06874999999999998,-0.01613674019322251,-0.02470618620785803,0.11607191349253058,0.06328311450133975,0.355,47,-1,0.46105362337860345,0.3114688599147393,0.12315801513438264,0
0.00017378626216668636,1.3106606006622314,1.0,0.85,1.3104868144000648,0.15000000000000002,0.15000000000000002,0.01360819484248306,-9.600532763270713e-06,0.29450221091230494,0.08603435198932007,0.875,12,6,-0.03825714075791363,0.09415260376178898,0.1136547463461019,0
0.2566565102338791,0.6774805188179016,0.90375,0.79,0.4208240085840225,0.11375000000000002,0.11375000000000002,0.012211195989088581,-0.005236971320527973,0.28575725642035366,0.09955647994357818,0.825,31,22,0.9433323451595946,0.4591218194269571,0.1498434978904048,0
1.1501526737213135,2.2404487133026123,0.575,0.345,1.0902960395812988,0.22999999999999998,0.22999999999999998,0.020566200487541427,-0.005517718604116737,0.08672755055881404,0.05094531792322359,0.345,52,-1,-0.22034091194986113,0.5928186328624779,0.17921105672363666,0
0.03658861666917801,0.6475437879562378,0.99375,0.875,0.6109551712870598,0.11875000000000002,0.11875000000000002,0.005352153922572291,-0.004569232802499427,0.2177981071360405,0.05031434633096229,0.925,38,8,0.897426871786676,0.1539285300851112,0.045807038190509304,0
