feature,importance
loss_volatility,0.1267806933610478
gradient_norm_std,0.10872200855728463
final_val_loss,0.09878562723528125
final_val_acc,0.0773427458172224
train_val_loss_corr,0.06946070964654619
loss_gap,0.06793373626775472
acc_volatility,0.06769216222436494
gradient_norm_mean,0.058952119971275536
best_val_acc,0.048385137170039
final_train_acc,0.046408336366620916
final_train_loss,0.04612445120114957
val_loss_trend,0.04038861520371264
train_loss_trend,0.03602673782088774
best_val_epoch,0.03470851772169182
acc_gap,0.03453833649395837
overfit_score,0.026486435681917397
convergence_speed,0.011263629259245152
